date,home_team,away_team,home_goals,away_goals,competition,season
2014-08-08,Reims,Paris SG,2.0,2.0,F1,2014-2015
2014-08-09,Lille,Metz,0.0,0.0,F1,2014-2015
2014-08-09,Nantes,Lens,1.0,0.0,F1,2014-2015
2014-08-09,Nice,Toulouse,3.0,2.0,F1,2014-2015
2014-08-09,Montpellier,Bordeaux,0.0,1.0,F1,2014-2015
2014-08-09,Bastia,Marseille,3.0,3.0,F1,2014-2015
2014-08-09,Evian Thonon Gaillard,Caen,0.0,3.0,F1,2014-2015
2014-08-09,Guingamp,St Etienne,0.0,2.0,F1,2014-2015
2014-08-10,Lyon,Rennes,2.0,0.0,F1,2014-2015
2014-08-10,Monaco,Lorient,1.0,2.0,F1,2014-2015
2014-08-15,Caen,Lille,0.0,1.0,F1,2014-2015
2014-08-16,Stoke,Aston Villa,0.0,1.0,E0,2014-2015
2014-08-16,Man United,Swansea,1.0,2.0,E0,2014-2015
2014-08-16,Leicester,Everton,2.0,2.0,E0,2014-2015
2014-08-16,Toulouse,Lyon,2.0,1.0,F1,2014-2015
2014-08-16,West Brom,Sunderland,2.0,2.0,E0,2014-2015
2014-08-16,Rennes,Evian Thonon Gaillard,6.0,2.0,F1,2014-2015
2014-08-16,Paris SG,Bastia,2.0,0.0,F1,2014-2015
2014-08-16,Metz,Nantes,1.0,1.0,F1,2014-2015
2014-08-16,Lorient,Nice,0.0,0.0,F1,2014-2015
2014-08-16,Lens,Guingamp,0.0,1.0,F1,2014-2015
2014-08-16,Arsenal,Crystal Palace,2.0,1.0,E0,2014-2015
2014-08-16,West Ham,Tottenham,0.0,1.0,E0,2014-2015
2014-08-16,QPR,Hull,0.0,1.0,E0,2014-2015
2014-08-17,Newcastle,Man City,0.0,2.0,E0,2014-2015
2014-08-17,Liverpool,Southampton,2.0,1.0,E0,2014-2015
2014-08-17,Bordeaux,Monaco,4.0,1.0,F1,2014-2015
2014-08-17,Marseille,Montpellier,0.0,2.0,F1,2014-2015
2014-08-17,St Etienne,Reims,3.0,1.0,F1,2014-2015
2014-08-18,Burnley,Chelsea,1.0,3.0,E0,2014-2015
2014-08-22,Bayern Munich,Wolfsburg,2.0,1.0,D1,2014-2015
2014-08-22,Evian Thonon Gaillard,Paris SG,0.0,0.0,F1,2014-2015
2014-08-23,Everton,Arsenal,2.0,2.0,E0,2014-2015
2014-08-23,Southampton,West Brom,0.0,0.0,E0,2014-2015
2014-08-23,Swansea,Burnley,1.0,0.0,E0,2014-2015
2014-08-23,Crystal Palace,West Ham,1.0,3.0,E0,2014-2015
2014-08-23,Sevilla,Valencia,1.0,1.0,SP1,2014-2015
2014-08-23,Malaga,Ath Bilbao,1.0,0.0,SP1,2014-2015
2014-08-23,Granada,La Coruna,2.0,1.0,SP1,2014-2015
2014-08-23,Bastia,Toulouse,1.0,0.0,F1,2014-2015
2014-08-23,Guingamp,Marseille,0.0,1.0,F1,2014-2015
2014-08-23,Hoffenheim,Augsburg,2.0,0.0,D1,2014-2015
2014-08-23,Aston Villa,Newcastle,0.0,0.0,E0,2014-2015
2014-08-23,Montpellier,Metz,2.0,0.0,F1,2014-2015
2014-08-23,Nice,Bordeaux,1.0,3.0,F1,2014-2015
2014-08-23,Reims,Caen,0.0,2.0,F1,2014-2015
