date,home_team,away_team,home_goals,away_goals,competition,season,b365h,b365d,b365a,psh,psd,psa
2014-08-08,Reims,Paris SG,2.0,2.0,F1,2014-2015,,,,,,
2014-08-09,Lille,Metz,0.0,0.0,F1,2014-2015,1.5,4.1,6.5,1.53,4.13,7.65
2014-08-09,Nantes,Lens,1.0,0.0,F1,2014-2015,2.0,3.25,3.9,2.04,3.28,4.36
2014-08-09,Nice,Toulouse,3.0,2.0,F1,2014-2015,2.63,3.1,2.75,2.85,3.09,2.85
2014-08-09,Montpellier,Bordeaux,0.0,1.0,F1,2014-2015,2.3,3.1,3.2,2.53,3.08,3.29
2014-08-09,Bastia,Marseille,3.0,3.0,F1,2014-2015,3.9,3.1,2.05,3.98,3.34,2.11
2014-08-09,Evian Thonon Gaillard,Caen,0.0,3.0,F1,2014-2015,2.38,3.2,3.0,2.44,3.28,3.22
2014-08-09,Guingamp,St Etienne,0.0,2.0,F1,2014-2015,,,,,,
2014-08-10,Lyon,Rennes,2.0,0.0,F1,2014-2015,1.8,3.4,4.75,1.85,3.52,4.95
2014-08-10,Monaco,Lorient,1.0,2.0,F1,2014-2015,1.4,4.33,8.5,1.42,4.7,9.4
2014-08-15,Caen,Lille,0.0,1.0,F1,2014-2015,3.6,3.1,2.15,3.72,3.21,2.25
2014-08-16,Stoke,Aston Villa,0.0,1.0,E0,2014-2015,,,,,,
2014-08-16,Man United,Swansea,1.0,2.0,E0,2014-2015,,,,,,
2014-08-16,Leicester,Everton,2.0,2.0,E0,2014-2015,,,,,,
2014-08-16,Toulouse,Lyon,2.0,1.0,F1,2014-2015,2.5,3.25,2.8,2.51,3.27,3.13
2014-08-16,West Brom,Sunderland,2.0,2.0,E0,2014-2015,,,,,,
2014-08-16,Rennes,Evian Thonon Gaillard,6.0,2.0,F1,2014-2015,1.73,3.5,5.0,1.79,3.58,5.22
2014-08-16,Paris SG,Bastia,2.0,0.0,F1,2014-2015,,,,,,
